Ticker,Trg
WDL.DE,XETRA (Nemčija)
NXR.DE,XETRA (Nemčija)
NC5A.DE,XETRA (Nemčija)
NWX.DE,XETRA (Nemčija)
OBS.DE,XETRA (Nemčija)
PA8.DE,XETRA (Nemčija)
ICP.DE,XETRA (Nemčija)
PTHH.DE,XETRA (Nemčija)
02P.DE,XETRA (Nemčija)
PFV.DE,XETRA (Nemčija)
EMH.DE,XETRA (Nemčija)
PIT.DE,XETRA (Nemčija)
P4O.DE,XETRA (Nemčija)
PAH3.DE,XETRA (Nemčija)
EXJ0.DE,XETRA (Nemčija)
RTC.DE,XETRA (Nemčija)
HP3.DE,XETRA (Nemčija)
3330.DE,XETRA (Nemčija)
RY8.DE,XETRA (Nemčija)
SWA.DE,XETRA (Nemčija)
SCE.DE,XETRA (Nemčija)
SIM.DE,XETRA (Nemčija)
SGU.DE,XETRA (Nemčija)
RCVR.DE,XETRA (Nemčija)
WIG1.DE,XETRA (Nemčija)
STO3.DE,XETRA (Nemčija)
SF3.DE,XETRA (Nemčija)
TCU.DE,XETRA (Nemčija)
PU11.DE,XETRA (Nemčija)
TIS.DE,XETRA (Nemčija)
TTO.DE,XETRA (Nemčija)
CRIN.DE,XETRA (Nemčija)
UZU.DE,XETRA (Nemčija)
VRV.DE,XETRA (Nemčija)
VXT.DE,XETRA (Nemčija)
MSH.DE,XETRA (Nemčija)
RKB.DE,XETRA (Nemčija)
WBAH.DE,XETRA (Nemčija)
RTV.DE,XETRA (Nemčija)
ZEF.DE,XETRA (Nemčija)
SNG.DE,XETRA (Nemčija)
1U1.DE,XETRA (Nemčija)
TGT.DE,XETRA (Nemčija)
UUU.DE,XETRA (Nemčija)
APM.DE,XETRA (Nemčija)
ADN1.DE,XETRA (Nemčija)
ADS.DE,XETRA (Nemčija)
ADJ.DE,XETRA (Nemčija)
QH9.DE,XETRA (Nemčija)
AIR.DE,XETRA (Nemčija)
AIXA.DE,XETRA (Nemčija)
A1OS.DE,XETRA (Nemčija)
LNSX.DE,XETRA (Nemčija)
ALV.DE,XETRA (Nemčija)
ACT.DE,XETRA (Nemčija)
AAD.DE,XETRA (Nemčija)
AT1.DE,XETRA (Nemčija)
ELB.DE,XETRA (Nemčija)
1AST.DE,XETRA (Nemčija)
AOF.DE,XETRA (Nemčija)
AAG.DE,XETRA (Nemčija)
AMV0.DE,XETRA (Nemčija)
NDA.DE,XETRA (Nemčija)
AG1.DE,XETRA (Nemčija)
BAS.DE,XETRA (Nemčija)
BSL.DE,XETRA (Nemčija)
BST.DE,XETRA (Nemčija)
BMW3.DE,XETRA (Nemčija)
BMW.DE,XETRA (Nemčija)
BAYN.DE,XETRA (Nemčija)
BYW.DE,XETRA (Nemčija)
BYW6�.DE,XETRA (Nemčija)
BBZA.DE,XETRA (Nemčija)
BC8.DE,XETRA (Nemčija)
BFSA.DE,XETRA (Nemčija)
BEI.DE,XETRA (Nemčija)
BDT.DE,XETRA (Nemčija)
ACX.DE,XETRA (Nemčija)
BIKE.DE,XETRA (Nemčija)
GBF.DE,XETRA (Nemčija)
B8F.DE,XETRA (Nemčija)
BVB.DE,XETRA (Nemčija)
BNN.DE,XETRA (Nemčija)
BRK.DE,XETRA (Nemčija)
BNR.DE,XETRA (Nemčija)
BKHT.DE,XETRA (Nemčija)
COK.DE,XETRA (Nemčija)
AFX.DE,XETRA (Nemčija)
CEC.DE,XETRA (Nemčija)
CWC.DE,XETRA (Nemčija)
C3RY.DE,XETRA (Nemčija)
CBK.DE,XETRA (Nemčija)
CON.DE,XETRA (Nemčija)
1COV.DE,XETRA (Nemčija)
EVD.DE,XETRA (Nemčija)
DTG�.DE,XETRA (Nemčija)
DAM.DE,XETRA (Nemčija)
DHER.DE,XETRA (Nemčija)
