Companies in Basic Board;;;;;;;
;; ;;;;;
1.05.2026;;;;;;;
;;;;;;;
;;;;;;;
Number of instruments: ;61;; ;;;;
Number of companies: ;59;;;;;;
ISIN;Trading Symbol;Company;Sector;Subsector;Country;Instrument Exchange;Index
DE000A2AAA75;T3T;SEVEN PRINCIPLES AG O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT;-
DE000A168205;SVE;SHAREHOLD.VAL.BET.NA O.N.;Financial Services;Private Equity & Venture Capital;Germany;XETRA + FRANKFURT;-
DE000A1RFMZ1;SMWN;SM WIRTSCHAFTSBER. AG .O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT;-
DE000A2GS609;SB1;SMARTBROKER HOLDING AG;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT;-
DE000A0LR936;ST5;STEICO SE;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT;-
DE000A41YCM0;N4G;THE NAGA GROUP AG NA O.N.;Financial Services;Securities Brokers;Germany;XETRA + FRANKFURT ;-
US87260H1041;TR61;TMM REAL EST. DEV. PLC;Financial Services;Real Estate;Russia/GUS;FRANKFURT;-
DE0005216907;T2G;TRADEGATE AG WERTPAPIERHANDELSBANK O.N.;Financial Services;Securities Brokers;Germany;FRANKFURT;-
DE000A40ZVU2;UMD;UMT UTD MOB.TECHN.AG;Industrial;Internet;Germany;XETRA + FRANKFURT;-
DE000A2E4SV8;CYR;CYAN AG O.N.;Software;Software;Germany;XETRA + FRANKFURT ;-
