Companies in General Standard;;;;;;;;
;;;;;;;;
1.05.2026;;;;;;;;
;;;;;;;;
;;;;;;;;
Number of instruments:;102;;;;;;;
Number of companies: ;101;;;;;;;
ISIN;Trading Symbol;Company;Sector;Subsector;Country;Instrument Exchange;Index;
DE0005754402;LSX;LS TELCOM AG;Software;Software;Germany;XETRA + FRANKFURT ;-;
DE0006553464;MNV6;MAINOVA AG O.N.;Utilities;Multi-Utilities;Germany;FRANKFURT;-;
DE000A0JQ5U3;M5Z;MANZ AG;Industrial;Advanced Industrial Equipment;Germany;FRANKFURT ;-;
LU2380748603;MS1;MARLEY SPOON GROUP SE;Retail;Retail, Internet;Luxembourg;XETRA + FRANKFURT ;-;
DE0006052830;MBH3;MASCHINENFABRIK BERTHOLD HERMLE O.N. VZO;Industrial;Industrial Machinery ;Germany;FRANKFURT;-;
DE0006044001;MAK;MATERNUS-KLINIKEN AG O.N.;Pharma & Healthcare;Health Care ;Germany;XETRA + FRANKFURT ;-;
DE000A2DA588;MXHN;MAX AUTOMATION SE NA O.N.;Industrial;Industrial, Diversified;Germany;XETRA + FRANKFURT ;-;
DE000A40ESG2;MDG1;MEDIGENE AG NA O.N.;Pharma & Healthcare;Biotechnology;Germany;FRANKFURT;-;
DE000A254203;WOLF;META WOLF AG INH O.N.;Construction;Building Materials;Germany;XETRA + FRANKFURT ;-;
DE000A0LBFE4;M3V;MEVIS MEDICAL SOLUTIONS NA O.N.;Software;Software;Germany;XETRA + FRANKFURT ;-;
DE000A2LQ728;ML2;MING LE SPORTS AG;Consumer;Clothing & Footwear;Germany;FRANKFURT;-;
DE0006214687;MLL;MUELLER-DIE LILA LOGISTIK SE;Transportation & Logistics ;Logistics;Germany;XETRA + FRANKFURT ;-;
DE000WNDL300;WDL;NAKIKI SE;Financial services;Private Equity & Venture Capital;Germany;XETRA + FRANKFURT ;-;
DE000A1K03W5;NXR;NEXR TECHNOLOGIES SE  INH O.N.;Media;Movies & Entertainment;Germany;FRANKFURT;-;
